priority,risk_score,id,brand_id,category,model,issues,source_url
,6,aegismax-aegismax-sleeping-bag-pack-stuff-sack-storage-carry-bag,aegismax,sleeping-bag,AEGISMAX Sleeping Bag Pack Stuff Sack Storage Carry Bag,missing weight; accessory candidate; review indexability,https://aegismaxstore.com/product/aegismax-sleeping-bag-pack-stuff-sack-storage-carry-bag/
,6,flames-creed-2018-flames-creed-lanshan-2-person-ultralight-tent-15d,flames-creed,tent,2018 FLAME’S CREED LanShan 2 Person Ultralight Tent 15D,missing weight; non-positive price,https://flamescreed.com/product/2018-flames-creed-lanshan-2-person-ultralight-tent-15d/
,6,flames-creed-flames-creed-lanshan-1-person-ultralight-tent-15d-silnylon,flames-creed,tent,FLAME’S CREED Lanshan 1 Person Ultralight Tent 15D Silnylon,missing weight; non-positive price,https://flamescreed.com/product/flames-creed-lanshan-1-person-ultralight-tent-15d-silnylon/
,6,flames-creed-flames-creed-lanshan-2-pro-20d-ultralight-tent,flames-creed,tent,FLAME’S CREED Lanshan 2 Pro 20D Ultralight Tent,missing weight; non-positive price,https://flamescreed.com/product/flames-creed-lanshan-2-pro-20d-ultralight-tent/
,6,nemo-aurora-backpacking-tent-and-footprint,nemo,tent,Aurora™ Backpacking Tent & Footprint,missing weight; accessory candidate; review indexability,https://www.nemoequipment.com/products/aurora-backpacking-tent-and-footprint
,6,nemo-dragonfly-bikepack-footprint,nemo,tent,Dragonfly™ Bikepack OSMO™ Footprint,missing weight; accessory candidate; review indexability,https://www.nemoequipment.com/products/dragonfly-bikepack-footprint
,6,nemo-vortex-pump-sack,nemo,sleeping-pad,Vortex™ Pump Sack,missing weight; accessory candidate; review indexability,https://www.nemoequipment.com/products/vortex-pump-sack
,4,flames-creed-flames-creed-20d-quilt-90-white-duck-down,flames-creed,sleeping-bag,FLAME’S CREED 20D Quilt 90% White Duck Down,non-positive price,https://flamescreed.com/product/flames-creed-20d-quilt-90-white-duck-down/
,4,flames-creed-flames-creed-33m-tarp-ultralight-15d-nylon-silicone-coating,flames-creed,tarp,FLAME’S CREED 3*3M Tarp Ultralight 15d Nylon Silicone Coating,non-positive price,https://flamescreed.com/product/flames-creed-33m-tarp-ultralight-15d-nylon-silicone-coating/
,4,flames-creed-flames-creed-backpack-qi-dian-pro-ultralight-frameless-backpacking-4016,flames-creed,backpack,FLAME’S CREED Backpack Qi Dian Pro Ultralight Frameless Backpacking 40+16,non-positive price,https://flamescreed.com/product/flames-creed-backpack-qi-dian-pro-ultralight-frameless-backpacking-4016/
,4,flames-creed-flames-creed-lanshan-1-pro-tent-20d-silnylon-ultralight,flames-creed,tent,FLAME’S CREED Lanshan 1 Pro Tent 20d Silnylon Ultralight,non-positive price,https://flamescreed.com/product/flames-creed-lanshan-1-pro-tent-20d-silnylon-ultralight/
,4,flames-creed-flames-creed-winter-mat-r-value-5-8-sleeping-pad-ultralight,flames-creed,sleeping-pad,FLAME’S CREED Winter Mat R-value 5.8 Sleeping Pad Ultralight,non-positive price,https://flamescreed.com/product/flames-creed-winter-mat-r-value-5-8-sleeping-pad-ultralight/
,4,mobi-garden-mobi-garden-kongar-ul-exo-flextm-backpacking-tent-alpenglow-cloud,mobi-garden,tent,Kongar Exo-Flex™ Backpacking Tent,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-kongar-ul-exo-flextm-backpacking-tent-alpenglow-cloud
,4,mobi-garden-mobi-garden-kongar-ul-exo-flextm-backpacking-tent-alpenglow-glow,mobi-garden,tent,Kongar Exo-Flex™ Backpacking Tent,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-kongar-ul-exo-flextm-backpacking-tent-alpenglow-glow
,4,mobi-garden-mobi-garden-lunta-pro-backpacking-tent-alpenglow-cloud-2-person,mobi-garden,tent,Lunta Backpacking Tent,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-lunta-pro-backpacking-tent-alpenglow-cloud-2-person
,4,mobi-garden-mobi-garden-lunta-pro-backpacking-tent-alpenglow-cloud-3-person,mobi-garden,tent,Lunta Backpacking Tent,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-lunta-pro-backpacking-tent-alpenglow-cloud-3-person
,4,mobi-garden-mobi-garden-lunta-pro-backpacking-tent-quartz-pink,mobi-garden,tent,Lunta Backpacking Tent,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-lunta-pro-backpacking-tent-quartz-pink
,4,mobi-garden-mobi-garden-mountain-wing-backpacking-chair,mobi-garden,chair,Mountain Wing Backpacking Chair,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-mountain-wing-backpacking-chair
,4,mobi-garden-mobi-garden-mountain-wing-backpacking-chair-alpenglow-glow,mobi-garden,chair,Mountain Wing Backpacking Chair,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-mountain-wing-backpacking-chair-alpenglow-glow
,4,mobi-garden-mobi-garden-mountain-wing-pro-ultralight-backpacking-chair,mobi-garden,chair,Mountain Wing Pro Backpacking Chair,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-mountain-wing-pro-ultralight-backpacking-chair
,4,mobi-garden-mobi-garden-mountain-wing-pro-ultralight-backpacking-chair-glacier-blue,mobi-garden,chair,Mountain Wing Pro Backpacking Chair,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-mountain-wing-pro-ultralight-backpacking-chair-glacier-blue
,4,mobi-garden-mobi-garden-mountain-wing-pro-ultralight-backpacking-chair-granite-grey,mobi-garden,chair,Mountain Wing Pro Backpacking Chair,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-mountain-wing-pro-ultralight-backpacking-chair-granite-grey
,4,mobi-garden-mobi-garden-mountain-wing-pro-ultralight-backpacking-chair-obsidian-black,mobi-garden,chair,Mountain Wing Pro Backpacking Chair,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-mountain-wing-pro-ultralight-backpacking-chair-obsidian-black
,4,mobi-garden-mobi-garden-mountain-wing-pro-ultralight-backpacking-chair-summit-white,mobi-garden,chair,Mountain Wing Pro Backpacking Chair,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-mountain-wing-pro-ultralight-backpacking-chair-summit-white
,4,mobi-garden-mobi-garden-talo-x-flextm-backpacking-tent-dusk-lichen,mobi-garden,tent,Talo X-Flex™ Backpacking Tent,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-talo-x-flextm-backpacking-tent-dusk-lichen
,4,mobi-garden-mobi-garden-talo-x-flextm-backpacking-tent-highland-fog-bark,mobi-garden,tent,Talo X-Flex™ Backpacking Tent,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-talo-x-flextm-backpacking-tent-highland-fog-bark
,4,nanga-aurora-tex-rectangular-down-bag-800,nanga,sleeping-bag,オーロラテックス レクタンギュラー ダウンバッグ 800,missing weight; duplicate normalized model,https://store.nanga.jp/products/aurora-tex-rectangular-down-bag-800
,4,nanga-aurora-tex-square-foot-800,nanga,sleeping-bag,オーロラテックス スクエアフット 800,missing weight; duplicate normalized model,https://store.nanga.jp/products/aurora-tex-square-foot-800
,4,nanga-sonae-bag-350dx,nanga,sleeping-bag,ソナエバッグ 350DX,missing weight; duplicate normalized model,https://store.nanga.jp/products/sonae-bag-350dx
,4,nanga-web-aurora-light-600-dx,nanga,sleeping-bag,【ナンガショップ限定】オーロラテックス ライト 600DX,missing weight; duplicate normalized model,https://store.nanga.jp/products/web-aurora-light-600-dx
,4,naturehike-brighten-20-pyramid-6-people-cotton-glamping-tent,naturehike,tent,Brighten 20 6 Person Glamping Tent,suspicious weight 42 kg,https://www.naturehike.com/products/brighten-20-pyramid-6-people-cotton-glamping-tent
,4,naturehike-gen-17-2-glamping-inflatable-tent,naturehike,tent,GEN 17.2  Glamping Inflatable 4 Season Tent,suspicious weight 47.2 kg,https://www.naturehike.com/products/gen-17-2-glamping-inflatable-tent
,4,naturehike-naturehike-camping-aluminum-alloy-wood-pattern-tent-pole,naturehike,tarp,240cm/280cm Aluminum Alloy & Wood Pattern Tent Pole,accessory candidate; review indexability,https://www.naturehike.com/products/naturehike-camping-aluminum-alloy-wood-pattern-tent-pole
,4,naturehike-naturehike-tent-accessories-tent-fly-inner-tent-footprint,naturehike,tent,Naturehike Tent Accessories - Footprint,accessory candidate; review indexability,https://www.naturehike.com/products/naturehike-tent-accessories-tent-fly-inner-tent-footprint
,4,naturehike-naturehike-yl01-snap-folding-camping-chair,naturehike,chair,PeakLite™ YL01 Ultralight Auto-Snap Pop-Up Camping Chair,suspicious weight 0.02 kg,https://www.naturehike.com/products/naturehike-yl01-snap-folding-camping-chair
,4,onetigris-daisy-chain,onetigris,tent,Daisy Chain,suspicious weight 0.12 kg,https://camping.onetigris.com/products/daisy-chain
,4,onetigris-mesh-inner-tent-01,onetigris,tent,Mesh Inner Tent 01,accessory candidate; review indexability,https://camping.onetigris.com/products/mesh-inner-tent-01
,4,onetigris-mesh-inner-tent-02,onetigris,tent,Mesh Inner Tent 02,accessory candidate; review indexability,https://camping.onetigris.com/products/mesh-inner-tent-02
,4,onetigris-mesh-inner-tent-03,onetigris,tent,Mesh Inner Tent 03,accessory candidate; review indexability,https://camping.onetigris.com/products/mesh-inner-tent-03
,4,onetigris-mesh-inner-tent-04-coyote-brown,onetigris,tent,Mesh Inner Tent 04,accessory candidate; review indexability,https://camping.onetigris.com/products/mesh-inner-tent-04-coyote-brown
,4,onetigris-northgaze-mesh-inner-tent,onetigris,tent,Northgaze Mesh Inner tent,accessory candidate; review indexability,https://camping.onetigris.com/products/northgaze-mesh-inner-tent
,4,onetigris-sleeping-bag-stuff-sack,onetigris,sleeping-bag,Sleeping Bag Stuff Sack,accessory candidate; review indexability,https://camping.onetigris.com/products/sleeping-bag-stuff-sack
,4,sea-to-summit-air-stream-dry-sack-pump,sea-to-summit,sleeping-pad,Airstream Pump Sack,accessory candidate; review indexability,https://seatosummit.com/products/air-stream-dry-sack-pump
,4,sea-to-summit-alto-tr1-inner-tent,sea-to-summit,tent,Alto TR1 Inner Tent,accessory candidate; review indexability,https://seatosummit.com/products/alto-tr1-inner-tent
,4,sea-to-summit-alto-tr2-inner-tent,sea-to-summit,tent,Alto TR2 Inner Tent,accessory candidate; review indexability,https://seatosummit.com/products/alto-tr2-inner-tent
,4,sea-to-summit-alto-tr2-plus-body,sea-to-summit,tent,Alto TR2 Plus Inner Tent,accessory candidate; review indexability,https://seatosummit.com/products/alto-tr2-plus-body
,4,sea-to-summit-ground-control-tent-pegs-used,sea-to-summit,tent,Ground Control Tent Pegs (Like New),accessory candidate; review indexability,https://seatosummit.com/products/ground-control-tent-pegs-used
,4,sea-to-summit-ikos-tent-bigfoot-footprint-used,sea-to-summit,tent,Ikos Tent Bigfoot Footprint (Like New),accessory candidate; review indexability,https://seatosummit.com/products/ikos-tent-bigfoot-footprint-used
,4,sea-to-summit-ikos-tr2-inner-tent,sea-to-summit,tent,Ikos TR2 Inner Tent,accessory candidate; review indexability,https://seatosummit.com/products/ikos-tr2-inner-tent
,4,sea-to-summit-ikos-tr3-inner-tent,sea-to-summit,tent,Ikos TR3 Inner Tent,accessory candidate; review indexability,https://seatosummit.com/products/ikos-tr3-inner-tent
,4,sea-to-summit-mat-coupler-kit-loops,sea-to-summit,sleeping-pad,Pad Coupler Kit Loops,suspicious weight 0.03 kg,https://seatosummit.com/products/mat-coupler-kit-loops
,4,sea-to-summit-telos-tr2-bikepack-tent-dry-bag,sea-to-summit,tent,Telos TR2 Bikepack Tent Dry Bag,suspicious weight 0.04 kg,https://seatosummit.com/products/telos-tr2-bikepack-tent-dry-bag
,4,sea-to-summit-telos-tr2-body,sea-to-summit,tent,Telos TR2 Inner Tent,accessory candidate; review indexability,https://seatosummit.com/products/telos-tr2-body
,4,sea-to-summit-telos-tr2-plus-body,sea-to-summit,tent,Telos TR2 Plus Inner Tent,accessory candidate; review indexability,https://seatosummit.com/products/telos-tr2-plus-body
,4,sea-to-summit-telos-tr3-inner-tent,sea-to-summit,tent,Telos TR3 Inner Tent,accessory candidate; review indexability,https://seatosummit.com/products/telos-tr3-inner-tent
,4,snow-peak-garden-unit-table-set,snow-peak,table,Garden Unit Table Set,suspicious weight 40.82 kg,https://www.snowpeak.com/products/garden-unit-table-set
,4,snow-peak-land-station,snow-peak,tarp,Land Station,suspicious weight 0 kg,https://www.snowpeak.com/products/land-station
,4,snow-peak-lid-for-shelf-container-25-in-black,snow-peak,table,Lid for Shelf Container 25 in Black,suspicious weight 0 kg,https://www.snowpeak.com/products/lid-for-shelf-container-25-in-black
,4,snow-peak-living-shell-long-pro,snow-peak,tarp,Living Shell Long Pro.,suspicious weight 20.8 kg,https://www.snowpeak.com/products/living-shell-long-pro
,4,snow-peak-living-shell-pro-series-ivory,snow-peak,tarp,Living Shell Long Pro. in Ivory,suspicious weight 22 kg,https://www.snowpeak.com/products/living-shell-pro-series-ivory
,4,snow-peak-low-chair-cup-holder,snow-peak,chair,Low Chair Cup Holder,suspicious weight 0.08 kg,https://www.snowpeak.com/products/low-chair-cup-holder
,4,snow-peak-takibi-garden-table-grill-set,snow-peak,table,Takibi Garden Table & Grill Set,suspicious weight 51.71 kg,https://www.snowpeak.com/products/takibi-garden-table-grill-set
,4,snow-peak-takibi-garden-table-set-xl,snow-peak,table,Takibi Garden Table Set XL,suspicious weight 61.23 kg,https://www.snowpeak.com/products/takibi-garden-table-set-xl
,3,aegismax-aegismax-air-10d-800fp-ultra-dry-down-sleeping-bag-ultralight,aegismax,sleeping-bag,AEGISMAX AIR 10D 800FP Ultra Dry Down Sleeping Bag Ultralight,missing weight; missing description,https://aegismaxstore.com/product/aegismax-air-10d-800fp-ultra-dry-down-sleeping-bag-ultralight/
,3,asta-gear-astagear-qingniao-2-person-10d-ultra-light-tent-heavy-duty-waterproof-windproof-snow-resistant-lightweight-portable-camping-tent-for-hiking-mountaineering-backpacking,asta-gear,tent,"Astagear Qingniao 2-Person 10D Ultra-Light Tent, Heavy-Duty Waterproof Windproof Snow-Resistant, Lightweight Portable Camping Tent for Hiking Mountaineering Backpacking",missing weight; missing description,https://astagear.com/products/astagear-qingniao-2-person-10d-ultra-light-tent-heavy-duty-waterproof-windproof-snow-resistant-lightweight-portable-camping-tent-for-hiking-mountaineering-backpacking
,3,dod-kinoko-mushroom-tent-s,dod,tent,Kinoko Mushroom Tent (S),missing weight; missing description,https://dodoutdoors.com/products/kinoko-mushroom-tent-s
,3,dod-tequila-bag-and-table-medium,dod,table,Tequila Table (M),missing weight; missing description,https://dodoutdoors.com/products/tequila-bag-and-table-medium
,2,aegismax-aegismax-micro-ultralight-envelope-95-white-duck-down-sleeping-bag-quilt-700fp,aegismax,sleeping-bag,Aegismax Micro Ultralight Envelope 95% White Duck Down Sleeping Bag Quilt 700FP,missing weight,https://aegismaxstore.com/product/aegismax-micro-ultralight-envelope-95-white-duck-down-sleeping-bag-quilt-700fp/
,2,aegismax-aegismax-wind-hard-dusk-7d-nylon-dwr-800fp-ultra-dry-down-pro-ultralight-sleeping-bag,aegismax,sleeping-bag,AEGISMAX Wind Hard Dusk 7D Nylon DWR 800FP Ultra Dry Down Pro Ultralight Sleeping Bag,missing weight,https://aegismaxstore.com/product/aegismax-wind-hard-dusk-7d-nylon-dwr-800fp-ultra-dry-down-pro-ultralight-sleeping-bag/
,2,big-agnes-c-bar-326,big-agnes,tent,C Bar 3,no issue detected; duplicate normalized model,https://www.bigagnes.com/products/c-bar-326
,2,big-agnes-c-bar-three,big-agnes,tent,C Bar 3,no issue detected; duplicate normalized model,https://www.bigagnes.com/products/c-bar-three
,2,big-agnes-ws-anthracite-20,big-agnes,sleeping-bag,Women's Anthracite 20°,no issue detected; duplicate normalized model,https://www.bigagnes.com/products/ws-anthracite-20
,2,big-agnes-ws-anthracite-twenty,big-agnes,sleeping-bag,Women's Anthracite 20°,no issue detected; duplicate normalized model,https://www.bigagnes.com/products/ws-anthracite-twenty
,2,dod-kamaboko-super-tent-l,dod,tent,Kamaboko Super Tent (L),missing weight,https://dodoutdoors.com/products/kamaboko-super-tent-l
,2,helinox-campcore-tactical-table,helinox,table,Campcore Tactical Table L,missing weight,https://helinox.com/products/campcore-tactical-table
,2,helinox-table-zero-lt,helinox,table,Table Zero LT,missing weight,https://helinox.com/products/table-zero-lt
,2,mobi-garden-dawa-kolon-sleeping-bag-35-f-20-f-5-f,mobi-garden,sleeping-bag,Dawa Kolon Sleeping Bag - 35°F/20°F/5°F,missing weight,https://www.mobigarden.com/products/dawa-kolon-sleeping-bag-35-f-20-f-5-f
,2,mobi-garden-dawa-sleeping-bag-15-f-alpine-sage,mobi-garden,sleeping-bag,Dawa Sleeping Bag -15°F - Alpine / Sage,missing weight,https://www.mobigarden.com/products/dawa-sleeping-bag-15-f-alpine-sage
,2,mobi-garden-dawa-sleeping-bag-15-f-stellar-indigo,mobi-garden,sleeping-bag,Dawa Sleeping Bag -15°F - Stellar / Indigo,missing weight,https://www.mobigarden.com/products/dawa-sleeping-bag-15-f-stellar-indigo
,2,mobi-garden-dawa-sleeping-bag-5-f-moraine-khaki,mobi-garden,sleeping-bag,Dawa Sleeping Bag 5°F - Moraine / Khaki,missing weight,https://www.mobigarden.com/products/dawa-sleeping-bag-5-f-moraine-khaki
,2,mobi-garden-mobi-garden-gennye-pro-ultralight-insulated-sleeping-pad-mummy-regular-fish-profile-r-value-8-8,mobi-garden,sleeping-pad,Gennye Pro Insulated Air Sleeping Pad - Mummy Regular - R-Value 8.8,missing weight,https://www.mobigarden.com/products/mobi-garden-gennye-pro-ultralight-insulated-sleeping-pad-mummy-regular-fish-profile-r-value-8-8
